681;ENTEDE;50
721;ENSEÑANZAS DEPORTIVAS CENAFE;50
5;IES SIERRA SAN QUÍLEZ;22
6;CPED ESCUELA ESPAÑOLA DE ESQUI;22
8;IES RAMÓN J. SENDER;22
9;IES BALTASAR GRACIÁN;22
10;CFPE ALFRED;22
11;ARTE-MISS HUESCA;22
14;CPIFP PIRÁMIDE;22
841;ARTE-MISS ZARAGOZA 2;50
861;NTRA. SRA. DEL CARMEN Y SAN JOSÉ;50
882;IES PABLO GARGALLO;50
481;IES RAMÓN PIGNATELLI;50
502;SALESI;22
141;CEE SAN MARTÍN DE PORRES;50
25;CPIFP BAJO ARAGÓN;44
26;IES DAMIÁN FORMENT;44
27;CEE GLORIA FUERTES;44
28;IES PABLO SERRANO;44
29;IES VALLE DEL JILOCA;44
30;IES SALVADOR VICTORIA;44
31;ESC ESCUELA DE ARTE;44
32;IES FRANCÉS DE ARANDA;44
581;FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN;50
33;IES VEGA DEL TURIA;44
34;CPEA ISABEL DE SEGURA;44
883;CPC SAN GABRIEL;50
921;COLEGIO LA PURÍSIMA;50
35;CPIFP SAN BLAS;44
37;IES SEGUNDO DE CHOMÓN;44
38;IES FERNANDO LÁZARO CARRETER;44
39;IES MATARRAÑA;44
40;IES ZAURÍN;50
42;IES EMILIO JIMENO;50
43;IES LEONARDO DE CHABACIER;50
44;IES JOAQUIN COSTA;50
47;IES REYES CATOLICOS;50
48;IES RODANAS;50
49;IES BENJAMIN JARNES;50
50;IES SIERRA DE LA VIRGEN;50
51;IES CABAÑAS;50
52;IES SIGLO XXI;50
54;IES TUBALCAÍN;50
56;IES PEDRO CERRADA;50
58;IES ANDALAN;50
59;CFPE ARSENIO JIMENO;50
60;ARTE-MISS ZARAGOZA 1;50
93;EFA EL POBLADO;22
94;I.F. AGROAMBIENTAL DE JACA;22
95;CPC SANTA MARIA;22
96;CES SANTO DOMINGO SAVIO;22
97;CPC NTRA. SRA. DE GUAYENTE;22
98;IFPE ESCUELA DE HOSTELERIA DE TERUEL;44
99;CPC ALAUN;50
100;EFA BOALARES;50
101;CPC SALES. LAVIAGA CASTILLO;50
102;C SANTA AGATOCLIA;50
20;CEE LA ALEGRÍA;22
116;CES SAN VICENTE DE PAÚL;50
117;O. D. SANTO DOMINGO DE SILOS;50
118;EFA EL SALTO;50
45;IES MAR DE ARAGÓN;50
53;ESCUELAS CENETED;50
46;IES CINCO VILLAS;50
121;IES PRUEBA;50
1;IES SOBRARBE;22
15;IES RAMÓN Y CAJAL;22
13;CPIFP MONTEARAGÓN;22
57;ALFRED;50
36;IES SANTA EMERENCIANA;44
22;IES BIELLO ARAGON;22
7;IES BAJO CINCA;22
55;IES RÍO ARBA;50
41;IES JUAN DE LANUZA;50
12;ESC ESCUELA DE ARTE;22
161;CETEFA (FEDERACIÓN ARAGONESA DE FÚTBOL);50
181;AYUNTAMIENTO DE FRAGA;22
182;AYUNTAMIENTO DE HUESCA;22
561;PIRAMIDEFCT2012;22
621;AYUNTAMIENTO DE TERUEL;44
61;IES AVEMPACE;50
62;CPEA CASA DEL CANAL;50
63;CPEA CONCEPCIÓN ARENAL;50
110;CPC LA SALLE SANTO ÁNGEL;50
112;CPC PADRE ENRIQUE DE OSSÓ;50
113;CPC PLUS ULTRA;50
111;CES MARÍA AUXILIADORA;50
114;CES SALESIANO NTRA. SRA. DEL PILAR;50
16;"CPIFP ""SAN LORENZO""";22
17;IES SIERRA DE GUARA;22
18;IES DOMINGO MIRAL;22
19;IES PIRINEOS;22
741;CPC SAN GABRIEL OLD;50
761;CPC LA SALLE - SAN JOSÉ;44
781;NTRA. SRA. DEL CARMEN Y SAN JOSÉ;50
801;IES PABLO GARGALLO;50
105;CPC COLEGIO MONTESSORI;50
106;CEFP CONDES DE ARAGÓN;50
107;CPC EL BUEN PASTOR;50
115;CES SAN VALERO;50
662;IES SAN ALBERTO MAGNO;22
642;IES VALLE DEL GUADALOPE DE CALANDA;44
702;ESCUELA DE ENSEÑANAZAS DEPORTIVAS PARQUE DEL AGUA;50
682;IES LOBETANO ( ALBARRACÍN );44
